,Height,Weight,Medal_Counts,Percentage_Win_H,Percentage_Win_W
2026,148,46,1,3.3269192727534302,2.309028300655563
2027,148,36,1,3.3269192727534302,1.807065626600006
2028,148,48,1,3.3269192727534302,2.409420835466675
2029,149,45,1,3.349398457028791,2.2588320332500076
2030,149,48,1,3.349398457028791,2.409420835466675
2031,149,43,1,3.349398457028791,2.1584394984388964
2032,149,47,1,3.349398457028791,2.3592245680611192
2033,150,58,1,3.371877641304152,2.9113835095222322
2034,150,65,1,3.371877641304152,3.262757381361122
2035,150,47,1,3.371877641304152,2.3592245680611192
2036,150,57,1,3.371877641304152,2.861187242116676
2037,150,43,1,3.371877641304152,2.1584394984388964
2038,150,45,1,3.371877641304152,2.2588320332500076
2039,150,46,1,3.371877641304152,2.309028300655563
2040,151,57,1,3.3943568255795133,2.861187242116676
2041,151,40,1,3.3943568255795133,2.007850696222229
2042,151,41,1,3.3943568255795133,2.0580469636277847
2043,151,35,1,3.3943568255795133,1.7568693591944504
2044,151,42,1,3.3943568255795133,2.1082432310333403
2045,151,49,1,3.3943568255795133,2.4596171028722305
2046,151,45,1,3.3943568255795133,2.2588320332500076
2047,151,47,1,3.3943568255795133,2.3592245680611192
2048,152,55,1,3.4168360098548747,2.7607947073055645
2049,152,45,1,3.4168360098548747,2.2588320332500076
2050,152,46,1,3.4168360098548747,2.309028300655563
2051,152,40,1,3.4168360098548747,2.007850696222229
2052,152,53,1,3.4168360098548747,2.6604021724944533
2053,152,57,1,3.4168360098548747,2.861187242116676
2054,152,60,1,3.4168360098548747,3.0117760443333434
2055,153,57,1,3.4393151941302356,2.861187242116676
2056,153,58,1,3.4393151941302356,2.9113835095222322
2057,153,56,1,3.4393151941302356,2.8109909747111206
2058,154,60,1,3.4617943784055965,3.0117760443333434
2059,154,51,1,3.4617943784055965,2.5600096376833417
2060,154,59,1,3.4617943784055965,2.9615797769277874
2061,154,47,1,3.4617943784055965,2.3592245680611192
2062,154,55,1,3.4617943784055965,2.7607947073055645
2063,154,45,1,3.4617943784055965,2.2588320332500076
2064,154,57,1,3.4617943784055965,2.861187242116676
2065,155,67,1,3.484273562680958,3.363149916172233
2066,155,41,1,3.484273562680958,2.0580469636277847
2067,155,42,1,3.484273562680958,2.1082432310333403
2068,155,62,1,3.484273562680958,3.112168579144455
2069,155,69,1,3.484273562680958,3.463542450983345
2070,155,77,1,3.484273562680958,3.8651125902277905
2071,156,55,1,3.5067527469563187,2.7607947073055645
2072,156,67,1,3.5067527469563187,3.363149916172233
2073,156,59,1,3.5067527469563187,2.9615797769277874
2074,157,69,1,3.5292319312316796,3.463542450983345
2075,157,42,1,3.5292319312316796,2.1082432310333403
2076,157,62,1,3.5292319312316796,3.112168579144455
2077,157,66,1,3.5292319312316796,3.312953648766678
2078,157,40,1,3.5292319312316796,2.007850696222229
2079,157,65,1,3.5292319312316796,3.262757381361122
2080,158,68,1,3.5517111155070404,3.413346183577789
2081,158,69,1,3.5517111155070404,3.463542450983345
2082,158,62,1,3.5517111155070404,3.112168579144455
2083,158,36,1,3.5517111155070404,1.807065626600006
2084,159,69,1,3.5741902997824013,3.463542450983345
2085,159,71,1,3.5741902997824013,3.563934985794456
2086,159,40,1,3.5741902997824013,2.007850696222229
2087,159,46,1,3.5741902997824013,2.309028300655563
2088,159,65,1,3.5741902997824013,3.262757381361122
2089,159,61,1,3.5741902997824013,3.061972311738899
2090,159,68,1,3.5741902997824013,3.413346183577789
2092,159,73,1,3.5741902997824013,3.6643275206055677
2093,160,67,1,3.5966694840577627,3.363149916172233
2094,160,69,1,3.5966694840577627,3.463542450983345
2095,160,75,1,3.5966694840577627,3.7647200554166793
2096,160,44,1,3.5966694840577627,2.208635765844452
2097,160,40,1,3.5966694840577627,2.007850696222229
2098,160,68,1,3.5966694840577627,3.413346183577789
2099,161,39,1,3.6191486683331235,1.9576544288166733
2100,161,49,1,3.6191486683331235,2.4596171028722305
2101,161,66,1,3.6191486683331235,3.312953648766678
2102,161,71,1,3.6191486683331235,3.563934985794456
2103,161,47,1,3.6191486683331235,2.3592245680611192
2104,161,63,1,3.6191486683331235,3.1623648465500103
2105,161,40,1,3.6191486683331235,2.007850696222229
2106,161,64,1,3.6191486683331235,3.2125611139555663
2107,161,75,1,3.6191486683331235,3.7647200554166793
2108,161,67,1,3.6191486683331235,3.363149916172233
2109,162,59,1,3.6416278526084844,2.9615797769277874
2110,162,72,1,3.6416278526084844,3.614131253200012
2111,162,69,1,3.6416278526084844,3.463542450983345
2112,162,53,1,3.6416278526084844,2.6604021724944533
2113,162,43,1,3.6416278526084844,2.1584394984388964
2114,162,46,1,3.6416278526084844,2.309028300655563
2115,162,42,1,3.6416278526084844,2.1082432310333403
2116,162,41,1,3.6416278526084844,2.0580469636277847
2117,162,76,1,3.6416278526084844,3.814916322822235
2118,162,38,1,3.6416278526084844,1.9074581614111175
2119,163,95,1,3.6641070368838453,4.768645403527794
2120,163,41,1,3.6641070368838453,2.0580469636277847
2121,163,43,1,3.6641070368838453,2.1584394984388964
2122,163,77,1,3.6641070368838453,3.8651125902277905
2123,163,71,1,3.6641070368838453,3.563934985794456
2124,163,78,1,3.6641070368838453,3.9153088576333466
2125,163,61,1,3.6641070368838453,3.061972311738899
2126,163,74,1,3.6641070368838453,3.7145237880111237
2127,163,45,1,3.6641070368838453,2.2588320332500076
2128,164,41,1,3.686586221159206,2.0580469636277847
2129,164,45,1,3.686586221159206,2.2588320332500076
2130,164,59,1,3.686586221159206,2.9615797769277874
2131,164,68,1,3.686586221159206,3.413346183577789
2132,164,78,1,3.686586221159206,3.9153088576333466
2133,164,43,1,3.686586221159206,2.1584394984388964
2134,165,102,1,3.709065405434568,5.120019275366683
2135,165,64,1,3.709065405434568,3.2125611139555663
2136,165,85,1,3.709065405434568,4.266682729472237
2137,165,82,1,3.709065405434568,4.116093927255569
2138,165,83,1,3.709065405434568,4.166290194661125
2139,165,78,1,3.709065405434568,3.9153088576333466
2140,165,76,1,3.709065405434568,3.814916322822235
2141,165,100,1,3.709065405434568,5.019626740555572
2142,165,44,1,3.709065405434568,2.208635765844452
2143,165,74,1,3.709065405434568,3.7145237880111237
2144,166,80,1,3.731544589709929,4.015701392444458
2145,166,76,1,3.731544589709929,3.814916322822235
2146,166,83,1,3.731544589709929,4.166290194661125
2147,166,43,1,3.731544589709929,2.1584394984388964
2148,166,70,1,3.731544589709929,3.513738718388901
2149,166,79,1,3.731544589709929,3.965505125038902
2150,166,85,1,3.731544589709929,4.266682729472237
2151,167,75,1,3.7540237739852897,3.7647200554166793
2152,167,88,1,3.7540237739852897,4.417271531688904
2153,167,82,1,3.7540237739852897,4.116093927255569
2154,167,104,1,3.7540237739852897,5.220411810177795
2155,167,81,1,3.7540237739852897,4.065897659850013
2156,167,43,1,3.7540237739852897,2.1584394984388964
2157,167,47,1,3.7540237739852897,2.3592245680611192
2158,167,66,1,3.7540237739852897,3.312953648766678
2159,167,45,1,3.7540237739852897,2.2588320332500076
2160,168,69,1,3.7765029582606506,3.463542450983345
2161,168,99,1,3.7765029582606506,4.969430473150016
2162,168,44,1,3.7765029582606506,2.208635765844452
2163,168,102,1,3.7765029582606506,5.120019275366683
2164,168,83,1,3.7765029582606506,4.166290194661125
2165,168,93,1,3.7765029582606506,4.668252868716682
2166,168,45,1,3.7765029582606506,2.2588320332500076
2167,169,50,1,3.798982142536012,2.509813370277786
2168,169,79,1,3.798982142536012,3.965505125038902
2169,169,83,1,3.798982142536012,4.166290194661125
2170,169,91,1,3.798982142536012,4.56786033390557
2171,169,85,1,3.798982142536012,4.266682729472237
2172,169,84,1,3.798982142536012,4.216486462066681
2173,170,120,1,3.821461326811373,6.023552088666687
2174,170,59,1,3.821461326811373,2.9615797769277874
2175,170,83,1,3.821461326811373,4.166290194661125
2176,170,45,1,3.821461326811373,2.2588320332500076
2177,170,91,1,3.821461326811373,4.56786033390557
2178,170,79,1,3.821461326811373,3.965505125038902
2179,170,116,1,3.821461326811373,5.8227670190444645
2180,170,58,1,3.821461326811373,2.9113835095222322
2181,170,46,1,3.821461326811373,2.309028300655563
2182,170,66,1,3.821461326811373,3.312953648766678
2183,170,88,1,3.821461326811373,4.417271531688904
2184,170,39,1,3.821461326811373,1.9576544288166733
2185,171,54,1,3.8439405110867337,2.7105984399000094
2186,171,48,1,3.8439405110867337,2.409420835466675
2187,171,100,1,3.8439405110867337,5.019626740555572
2188,171,91,1,3.8439405110867337,4.56786033390557
2189,171,52,1,3.8439405110867337,2.6102059050888977
2190,171,82,1,3.8439405110867337,4.116093927255569
2191,171,88,1,3.8439405110867337,4.417271531688904
2192,171,94,1,3.8439405110867337,4.7184491361222385
2193,171,49,1,3.8439405110867337,2.4596171028722305
2194,171,46,1,3.8439405110867337,2.309028300655563
2195,172,86,1,3.8664196953620946,4.316878996877793
2196,172,96,1,3.8664196953620946,4.81884167093335
2197,172,94,1,3.8664196953620946,4.7184491361222385
2198,172,75,1,3.8664196953620946,3.7647200554166793
2199,172,120,1,3.8664196953620946,6.023552088666687
2200,172,108,1,3.8664196953620946,5.421196879800019
2201,172,50,1,3.8664196953620946,2.509813370277786
2202,172,70,1,3.8664196953620946,3.513738718388901
2203,172,93,1,3.8664196953620946,4.668252868716682
2204,172,105,1,3.8664196953620946,5.2706080775833515
2205,172,51,1,3.8664196953620946,2.5600096376833417
2206,172,95,1,3.8664196953620946,4.768645403527794
2207,172,99,1,3.8664196953620946,4.969430473150016
2208,172,45,1,3.8664196953620946,2.2588320332500076
2209,172,61,1,3.8664196953620946,3.061972311738899
2210,172,66,1,3.8664196953620946,3.312953648766678
2211,172,47,1,3.8664196953620946,2.3592245680611192
2212,173,100,1,3.8888988796374555,5.019626740555572
2213,173,88,1,3.8888988796374555,4.417271531688904
2214,173,73,1,3.8888988796374555,3.6643275206055677
2215,173,46,1,3.8888988796374555,2.309028300655563
2216,173,123,1,3.8888988796374555,6.174140890883354
2217,173,98,1,3.8888988796374555,4.919234205744461
2218,173,140,1,3.8888988796374555,7.027477436777802
2219,174,91,1,3.911378063912817,4.56786033390557
2220,174,131,1,3.911378063912817,6.5757110301278
2221,174,93,1,3.911378063912817,4.668252868716682
