,Height,Weight,Medal_Counts
657,165.0,51.0,14
658,172.0,54.0,14
659,172.0,78.0,14
660,174.0,58.0,14
661,175.0,85.0,14
662,176.0,82.0,14
663,178.0,61.0,14
664,179.0,71.0,14
665,179.0,69.0,14
666,180.0,95.0,14
667,181.0,67.0,14
668,182.0,69.0,14
669,182.0,67.0,14
670,185.0,71.0,14
671,188.0,98.0,14
672,188.0,92.0,14
673,189.0,84.0,14
674,189.0,74.0,14
675,190.0,81.0,14
676,190.0,74.0,14
677,190.0,120.0,14
678,191.0,83.0,14
679,192.0,89.0,14
680,193.0,88.0,14
681,194.0,94.0,14
682,195.0,86.0,14
683,196.0,85.0,14
684,196.0,94.0,14
685,198.0,94.0,14
686,200.0,93.0,14
687,200.0,105.0,14
688,,67.0,13
689,155.0,,13
690,157.0,50.0,13
691,157.0,44.0,13
692,157.0,45.0,13
693,158.0,45.0,13
694,159.0,55.0,13
695,161.0,60.0,13
696,161.0,58.0,13
697,163.0,51.0,13
698,163.0,56.0,13
699,167.0,53.0,13
700,168.0,52.0,13
701,168.0,73.0,13
702,169.0,,13
703,169.0,56.0,13
704,171.0,57.0,13
705,171.0,69.0,13
706,174.0,61.0,13
707,175.0,84.0,13
708,175.0,86.0,13
709,177.0,63.0,13
710,180.0,97.0,13
711,181.0,88.0,13
712,182.0,95.0,13
713,183.0,64.0,13
714,183.0,65.0,13
715,184.0,87.0,13
716,184.0,70.0,13
717,187.0,95.0,13
718,187.0,77.0,13
719,188.0,94.0,13
720,189.0,87.0,13
721,189.0,96.0,13
722,191.0,81.0,13
723,191.0,76.0,13
724,191.0,94.0,13
725,191.0,82.0,13
726,191.0,85.0,13
727,192.0,84.0,13
728,192.0,98.0,13
729,194.0,95.0,13
730,196.0,84.0,13
731,196.0,88.0,13
732,197.0,93.0,13
733,198.0,92.0,13
734,,77.0,12
735,,82.0,12
736,155.0,56.0,12
737,156.0,52.0,12
738,157.0,54.0,12
739,158.0,51.0,12
740,159.0,59.0,12
741,161.0,48.0,12
742,164.0,67.0,12
743,164.0,65.0,12
744,164.0,64.0,12
745,165.0,49.0,12
746,167.0,51.0,12
747,167.0,69.0,12
748,168.0,75.0,12
749,174.0,80.0,12
750,174.0,59.0,12
751,175.0,55.0,12
752,176.0,,12
753,176.0,61.0,12
754,177.0,62.0,12
755,177.0,60.0,12
756,178.0,89.0,12
757,179.0,83.0,12
758,179.0,84.0,12
759,180.0,91.0,12
760,181.0,,12
761,183.0,92.0,12
762,184.0,66.0,12
763,187.0,76.0,12
764,187.0,98.0,12
765,187.0,94.0,12
766,187.0,78.0,12
767,187.0,100.0,12
768,188.0,72.0,12
769,190.0,94.0,12
770,190.0,102.0,12
771,190.0,97.0,12
772,191.0,98.0,12
773,194.0,92.0,12
774,194.0,87.0,12
775,194.0,85.0,12
776,195.0,100.0,12
777,195.0,85.0,12
778,195.0,89.0,12
779,196.0,104.0,12
780,,79.0,11
781,,60.0,11
782,152.0,43.0,11
783,155.0,53.0,11
784,160.0,47.0,11
785,165.0,48.0,11
786,165.0,69.0,11
787,166.0,59.0,11
788,166.0,52.0,11
789,166.0,50.0,11
790,167.0,73.0,11
791,168.0,51.0,11
792,168.0,72.0,11
793,173.0,82.0,11
794,174.0,,11
795,176.0,58.0,11
796,178.0,58.0,11
797,179.0,90.0,11
798,182.0,92.0,11
799,187.0,,11
800,187.0,74.0,11
801,187.0,70.0,11
802,187.0,92.0,11
803,188.0,93.0,11
804,188.0,70.0,11
805,189.0,76.0,11
806,189.0,92.0,11
807,189.0,91.0,11
808,189.0,93.0,11
809,192.0,93.0,11
810,192.0,80.0,11
811,192.0,82.0,11
812,193.0,83.0,11
813,194.0,93.0,11
814,195.0,102.0,11
815,196.0,93.0,11
816,197.0,89.0,11
817,198.0,93.0,11
818,198.0,95.0,11
819,202.0,100.0,11
820,202.0,90.0,11
821,203.0,95.0,11
822,203.0,105.0,11
823,156.0,46.0,10
824,157.0,53.0,10
825,159.0,51.0,10
826,160.0,66.0,10
827,160.0,65.0,10
828,160.0,53.0,10
